Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-06-04,Tuesday,21:20:00,Below Low,18718.25,18745.0,18725.75,18766.0,18511.25,14:15:00,Crossed Above High,18690.25,,
2024-06-04,Tuesday,21:20:00,Below Low,18718.25,18745.0,18725.75,18766.0,18511.25,22:00:00,Crossed Above High,18746.5,,
2024-06-05,Wednesday,20:35:00,Below Low,19069.75,19097.0,19070.5,19111.0,18703.0,21:45:00,Crossed Above High,19100.75,,
2024-06-06,Thursday,20:45:00,Above High,19079.75,19078.75,19067.5,19124.5,19017.25,,,,,
2024-06-09,Sunday,23:05:00,Above High,19043.5,19040.0,19015.0,19051.0,19018.5,,,,,
2024-06-10,Monday,21:35:00,Above High,19090.25,19088.75,19076.0,19129.75,18974.25,02:25:00,,,Crossed Below Low,19015.0
2024-06-11,Tuesday,20:45:00,Below Low,19241.75,19266.25,19242.0,19266.5,18994.5,04:45:00,,,Crossed Below Low,19072.0
2024-06-12,Wednesday,23:10:00,Above High,19625.25,19623.75,19593.5,19638.0,19240.25,00:00:00,Crossed Above High,19266.75,,
2024-06-13,Thursday,21:50:00,Above High,19626.5,19624.5,19610.25,19691.0,19500.0,05:40:00,,,Crossed Below Low,19593.25
2024-06-16,Sunday,20:35:00,Below Low,19704.0,19718.75,19705.25,19714.0,19684.75,,,,,
2024-06-17,Monday,21:10:00,Below Low,19901.5,19937.25,19902.0,20001.0,19640.5,03:10:00,Crossed Above High,19718.75,,
2024-06-18,Tuesday,22:30:00,Above High,19949.5,19947.75,19932.0,19996.5,19851.75,03:40:00,Crossed Above High,19939.75,,
2024-06-19,Wednesday,20:35:00,Above High,19971.0,19968.25,19955.75,20016.25,19938.25,,,,,
2024-06-20,Thursday,20:35:00,Below Low,19777.5,19803.75,19780.5,20095.0,19694.25,09:30:00,,,Crossed Below Low,19927.25
